"","SUBSTANCENAME","NONPROPRIETARYNAME","NDC_11","PHARM_CLASSES","PRODUCTNDC","NDCPACKAGECODE","PRODUCTID","PRODUCTTYPENAME","PROPRIETARYNAME","PROPRIETARYNAMESUFFIX","DOSAGEFORMNAME","ROUTENAME","STARTMARKETINGDATE","ENDMARKETINGDATE","MARKETINGCATEGORYNAME","APPLICATIONNUMBER","LABELERNAME","ACTIVE_NUMERATOR_STRENGTH","ACTIVE_INGRED_UNIT","DEASCHEDULE","NDC_EXCLUDE_FLAG","LISTING_RECORD_CERTIFIED_THROUGH"
"11","Azithromycin","Azithromycin","59762306003","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Azithromycin","Azithromycin","54569452202","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Levofloxacin","Levofloxacin","00904635361","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Doxycycline Hyclate","Doxycycline Hyclate","00069095050","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Amoxicillin-Clavulanic Acid","Amoxicillin-Clavulanic Acid","43598020451","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Miconazole Powder 2%","Miconazole Powder 2%","00145150605","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Ampicillin-Sulbactam","Ampicillin-Sulbactam","63323036920","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Levofloxacin","Levofloxacin","00045152010","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Levofloxacin","Levofloxacin","50458092510","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Levofloxacin","Levofloxacin","50458092010","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Nystatin Oral Suspension","Nystatin Oral Suspension","00472500360","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Sulfameth/Trimethoprim DS","Sulfameth/Trimethoprim DS","68084023001","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","CefePIME","CefePIME","60505083404","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Miconazole Powder 2%","Miconazole Powder 2%","00064065001","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Amoxicillin","Amoxicillin","00143993801","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","MetRONIDAZOLE (FLagyl)","MetRONIDAZOLE (FLagyl)","68084096601","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Amoxicillin","Amoxicillin","00093310793","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","MetroNIDAZOLE","MetroNIDAZOLE","00904145361","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Nystatin Oral Suspension","Nystatin Oral Suspension","66689003750","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Miconazole Powder 2%","Miconazole Powder 2%","11017025030","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Piperacillin-Tazobactam","Piperacillin-Tazobactam","00206885216","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","MetRONIDAZOLE (FLagyl)","MetRONIDAZOLE (FLagyl)","51079021720","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Linezolid","Linezolid","00009513503","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Doxycycline Hyclate","Doxycycline Hyclate","63323013011","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Clindamycin","Clindamycin","63739005910","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Fosfomycin Tromethamine","Fosfomycin Tromethamine","00456430001","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Linezolid","Linezolid","00009514001","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Mupirocin Nasal Ointment 2%","Mupirocin Nasal Ointment 2%","00029152611","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Mupirocin Cream 2%","Mupirocin Cream 2%","00029152725","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","CefazoLIN","CefazoLIN","00409080601","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Levofloxacin","Levofloxacin","68084048301","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Ampicillin Sodium","Ampicillin Sodium","63323039923","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Minocycline","Minocycline","00591569401","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Sulfameth/Trimethoprim DS","Sulfameth/Trimethoprim DS","49999064990","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Doxycycline Hyclate","Doxycycline Hyclate","50268027815","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Ampicillin","Ampicillin","54868311105","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Piperacillin-Tazobactam","Piperacillin-Tazobactam","00206885516","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Clindamycin","Clindamycin","00409405101","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Nystatin Cream","Nystatin Cream","49999025130","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Levofloxacin","Levofloxacin","00045006801","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Clindamycin","Clindamycin","51079059820","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Voriconazole","Voriconazole","51079016503","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Posaconazole","Posaconazole","00085432402","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Levofloxacin","Levofloxacin","25021013282","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Doxycycline Hyclate","Doxycycline Hyclate","60687011821","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Azithromycin","Azithromycin","25021011210","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Miconazole 2% Cream","Miconazole 2% Cream","51672200102","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Nystatin Ointment","Nystatin Ointment","00168000715","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Levofloxacin","Levofloxacin","00045006601","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Cefpodoxime Proxetil","Cefpodoxime Proxetil","63304052020","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Moxifloxacin","Moxifloxacin","00085173302","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Azithromycin","Azithromycin","00069306086","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Terbinafine 1% Cream","Terbinafine 1% Cream","00067810012","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Miconazole 2% Cream","Miconazole 2% Cream","59390006717","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","CefTAZidime","CefTAZidime","00781317796","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Sulfameth/Trimethoprim SS","Sulfameth/Trimethoprim SS","00093008801","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Nystatin Oral Suspension","Nystatin Oral Suspension","00121478505","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Clindamycin","Clindamycin","00009337502","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Levofloxacin","Levofloxacin","25021013283","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Amoxicillin-Clavulanate Susp.","Amoxicillin-Clavulanate Susp.","00029609039","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Miconazole Nitrate Vag Cream 2%","Miconazole Nitrate Vag Cream 2%","00472073041","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Ampicillin-Sulbactam","Ampicillin-Sulbactam","63323036820","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Isoniazid","Isoniazid","51079008320","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Levofloxacin","Levofloxacin","00045152510","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Nystatin Cream","Nystatin Cream","00603781878","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Sulfameth/Trimethoprim Suspension","Sulfameth/Trimethoprim Suspension","00472128416","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Nystatin Cream","Nystatin Cream","00168005430","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","MetroNIDAZOLE","MetroNIDAZOLE","00904656861","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Doxycycline Hyclate","Doxycycline Hyclate","52959005500","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Doxycycline Hyclate","Doxycycline Hyclate","00143314250","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Amoxicillin-Clavulanic Acid","Amoxicillin-Clavulanic Acid","00029608031","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Amoxicillin","Amoxicillin","55370088408","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Nystatin","Nystatin","53489040001","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Miconazole Nitrate (Combo Pack)","Miconazole Nitrate (Combo Pack)","00062543001","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Voriconazole","Voriconazole","00049318030","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Voriconazole","Voriconazole","00049317030","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Caspofungin","Caspofungin","00006382310","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Posaconazole Suspension","Posaconazole Suspension","00085132801","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Ambisome","Ambisome","00469305130","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Amoxicillin-Clavulanic Acid","Amoxicillin-Clavulanic Acid","51079026720","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Mupirocin Cream 2%","Mupirocin Cream 2%","00029152722","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Voriconazole","Voriconazole","59762093002","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Voriconazole","Voriconazole","27241006203","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Voriconazole","Voriconazole","00049319028","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","CefTAZidime","CefTAZidime","00173037934","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","CefTAZidime","CefTAZidime","24987037934","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Nystatin Cream","Nystatin Cream","45802005911","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","moxifloxacin","moxifloxacin","00065401303","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Minocycline","Minocycline","00093316501","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Miconazole Powder 2%","Miconazole Powder 2%","37205065318","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Linezolid","Linezolid","60505436203","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Clindamycin","Clindamycin","00009338102","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","CefTAZidime","CefTAZidime","24987038237","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Nystatin Oral Suspension","Nystatin Oral Suspension","00121481000","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Amoxicillin-Clavulanate Susp.","Amoxicillin-Clavulanate Susp.","60432006500","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Clindamycin","Clindamycin","47781046570","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","AMOXicillin Oral Susp.","AMOXicillin Oral Susp.","49999016850","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Clindamycin 1% Solution","Clindamycin 1% Solution","59762372802","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Nystatin Oral Suspension","Nystatin Oral Suspension","00472132002","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Azithromycin","Azithromycin","00904640506","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","MetroNIDAZOLE","MetroNIDAZOLE","60687042401","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Voriconazole","Voriconazole","00378164093","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Nystatin Oral Suspension","Nystatin Oral Suspension","00121481040","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Doxycycline Hyclate","Doxycycline Hyclate","00904043004","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Minocycline","Minocycline","65293001410","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Imipenem-Cilastatin","Imipenem-Cilastatin","00409350701","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","CeFAZolin","CeFAZolin","60505074905","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Clindamycin","Clindamycin","00009338202","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Terbinafine 1% Cream","Terbinafine 1% Cream","00067399842","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Ampicillin Sodium","Ampicillin Sodium","63323038910","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Levofloxacin","Levofloxacin","00045006701","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Fosfomycin Tromethamine","Fosfomycin Tromethamine","00456430008","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Miconazole 2% Cream","Miconazole 2% Cream","00168014231","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Levofloxacin","Levofloxacin","00143972124","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Azithromycin","Azithromycin","59762308001","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","CefazoLIN","CefazoLIN","00781933895","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","MetRONIDAZOLE (FLagyl)","MetRONIDAZOLE (FLagyl)","51079012220","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Amoxicillin-Clavulanic Acid","Amoxicillin-Clavulanic Acid","00029607531","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Levofloxacin","Levofloxacin","25021013281","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Minocycline","Minocycline","00005534323","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Clindamycin 1% Solution","Clindamycin 1% Solution","00472098792","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Anidulafungin","Anidulafungin","00049011528","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Azithromycin","Azithromycin","00781149731","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","nitazoxanide","nitazoxanide","67546011114","antiprotozoal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","paromomycin","paromomycin","57664017508","antiprotozoal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Nystatin Oral Suspension","Nystatin Oral Suspension","60432053760","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Terbinafine 1% Cream","Terbinafine 1% Cream","51672208001","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Terconazole 0.4% Vag. Cream","Terconazole 0.4% Vag. Cream","51672130406","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Piperacillin-Tazo Graded Challenge","Piperacillin-Tazo Graded Challenge","00206885416","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Isoniazid","Isoniazid","51079008220","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","CefTAZidime","CefTAZidime","00173038237","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","CefazoLIN","CefazoLIN","60505076900","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","terbinafine","terbinafine","00078017905","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Miconazole Nitrate Vag Cream 2%","Miconazole Nitrate Vag Cream 2%","51672203506","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Amoxicillin-Clavulanic Acid","Amoxicillin-Clavulanic Acid","49884029812","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Miconazole 2% Cream","Miconazole 2% Cream","00472073556","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Nystatin Oral Suspension","Nystatin Oral Suspension","51672411704","antifungal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","MetroNIDAZOLE","MetroNIDAZOLE","51079021620","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Amoxicillin-Clavulanate Susp.","Amoxicillin-Clavulanate Susp.","54868627100","antimicrobial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
